date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-12-04,5.64,3.33,450,"1993-11-27 2022-12-11",97.04,5.23,450,"1993-11-27 2022-12-11",8.35,2.5,450,"1993-11-27 2022-12-11",18.93,12.02,450,"1993-11-27 2022-12-11",1.79,4.09,450,"1993-11-27 2022-12-11",78.07,15.45,450,"1993-11-27 2022-12-11",2.28,3.63,450,"1993-11-27 2022-12-11",3.04,5.14,450,"1993-11-27 2022-12-11",13.36,19.38,443,"1993-11-27 2022-12-11",13.24,19.36,443,"1993-11-27 2022-12-11",0.12,0.88,443,"1993-11-27 2022-12-11",0.1,0.81,422,"1993-11-27 2022-12-11",,,,
2023-12-03,5.67,3.36,450,"1993-11-26 2022-12-10",97.1,5.09,450,"1993-11-26 2022-12-10",8.36,2.48,450,"1993-11-26 2022-12-10",18.76,11.97,450,"1993-11-26 2022-12-10",1.76,4.13,450,"1993-11-26 2022-12-10",77.88,15.63,450,"1993-11-26 2022-12-10",2.23,3.63,450,"1993-11-26 2022-12-10",2.96,5,450,"1993-11-26 2022-12-10",13.34,19.25,444,"1993-11-26 2022-12-10",13.22,19.24,444,"1993-11-26 2022-12-10",0.12,0.88,444,"1993-11-26 2022-12-10",0.1,0.82,423,"1993-11-27 2022-12-10",,,,
2023-12-02,5.67,3.38,450,"1993-11-25 2022-12-09",97.11,5.06,450,"1993-11-25 2022-12-09",8.43,2.46,450,"1993-11-25 2022-12-09",18.57,11.88,450,"1993-11-25 2022-12-09",1.74,4.15,450,"1993-11-25 2022-12-09",77.4,15.57,450,"1993-11-25 2022-12-09",2.23,3.66,450,"1993-11-25 2022-12-09",2.94,4.96,450,"1993-11-25 2022-12-09",13.3,19.57,444,"1993-11-25 2022-12-09",13.17,19.55,444,"1993-11-25 2022-12-09",0.13,0.94,444,"1993-11-25 2022-12-09",0.1,0.84,422,"1993-11-27 2022-12-09",,,,
2023-12-01,5.74,3.38,450,"1993-11-24 2022-12-08",97.1,5.06,450,"1993-11-24 2022-12-08",8.47,2.43,450,"1993-11-24 2022-12-08",18.72,11.99,450,"1993-11-24 2022-12-08",1.81,4.15,450,"1993-11-24 2022-12-08",77.42,15.5,450,"1993-11-24 2022-12-08",2.31,3.65,450,"1993-11-24 2022-12-08",2.92,4.92,450,"1993-11-24 2022-12-08",13.62,19.81,445,"1993-11-24 2022-12-08",13.48,19.8,445,"1993-11-24 2022-12-08",0.14,0.95,445,"1993-11-24 2022-12-08",0.1,0.86,422,"1993-11-27 2022-12-08",,,,
2023-11-30,5.82,3.4,450,"1993-11-23 2022-12-07",97.13,5.08,450,"1993-11-23 2022-12-07",8.54,2.45,450,"1993-11-23 2022-12-07",18.76,12.02,450,"1993-11-23 2022-12-07",1.91,4.15,450,"1993-11-23 2022-12-07",77.4,15.22,450,"1993-11-23 2022-12-07",2.36,3.66,450,"1993-11-23 2022-12-07",2.83,4.76,450,"1993-11-23 2022-12-07",13.83,19.98,446,"1993-11-23 2022-12-07",13.68,19.97,446,"1993-11-23 2022-12-07",0.14,0.95,446,"1993-11-23 2022-12-07",0.2,0.89,423,"1993-11-27 2022-12-07",,,,
2023-11-29,5.88,3.4,450,"1993-11-22 2022-12-06",97.2,4.91,450,"1993-11-22 2022-12-06",8.56,2.47,450,"1993-11-22 2022-12-06",18.73,11.76,450,"1993-11-22 2022-12-06",1.97,4.14,450,"1993-11-22 2022-12-06",77.66,14.96,450,"1993-11-22 2022-12-06",2.38,3.65,450,"1993-11-22 2022-12-06",2.79,4.56,450,"1993-11-22 2022-12-06",13.93,19.89,446,"1993-11-22 2022-12-06",13.79,19.87,446,"1993-11-22 2022-12-06",0.14,0.95,446,"1993-11-22 2022-12-06",0.2,0.94,423,"1993-11-27 2022-12-06",,,,
2023-11-28,5.96,3.32,450,"1993-11-21 2022-12-05",97.37,3.88,450,"1993-11-21 2022-12-05",8.64,2.46,450,"1993-11-21 2022-12-05",18.83,11.73,450,"1993-11-21 2022-12-05",2.01,4.03,450,"1993-11-21 2022-12-05",77.53,14.78,450,"1993-11-21 2022-12-05",2.44,3.62,450,"1993-11-21 2022-12-05",2.78,4.72,450,"1993-11-21 2022-12-05",14.47,20.13,447,"1993-11-21 2022-12-05",14.31,20.13,447,"1993-11-21 2022-12-05",0.16,1.04,447,"1993-11-21 2022-12-05",0.2,0.92,424,"1993-11-21 2022-12-05",,,,
2023-11-27,6.05,3.33,450,"1993-11-20 2022-12-04",97.32,4.09,450,"1993-11-20 2022-12-04",8.75,2.41,450,"1993-11-20 2022-12-04",18.96,11.65,450,"1993-11-20 2022-12-04",2.12,4.08,450,"1993-11-20 2022-12-04",77.36,14.88,450,"1993-11-20 2022-12-04",2.57,3.67,450,"1993-11-20 2022-12-04",2.84,4.86,450,"1993-11-20 2022-12-04",14.41,20.05,448,"1993-11-20 2022-12-04",14.27,20.05,448,"1993-11-20 2022-12-04",0.14,1,448,"1993-11-20 2022-12-04",0.2,0.92,426,"1993-11-20 2022-12-04",,,,
2023-11-26,6.16,3.35,450,"1993-11-19 2022-12-03",97.34,4.16,450,"1993-11-19 2022-12-03",8.88,2.45,450,"1993-11-19 2022-12-03",19.29,11.96,450,"1993-11-19 2022-12-03",2.21,4.14,450,"1993-11-19 2022-12-03",77.32,15.09,450,"1993-11-19 2022-12-03",2.69,3.66,450,"1993-11-19 2022-12-03",2.86,4.75,450,"1993-11-19 2022-12-03",14.73,20.36,447,"1993-11-19 2022-12-03",14.59,20.36,447,"1993-11-19 2022-12-03",0.14,1,447,"1993-11-19 2022-12-03",0.2,0.92,426,"1993-11-19 2022-12-03",,,,
2023-11-25,6.21,3.32,450,"1993-11-18 2022-12-02",97.18,4.44,450,"1993-11-18 2022-12-02",8.97,2.46,450,"1993-11-18 2022-12-02",19.52,12.07,450,"1993-11-18 2022-12-02",2.27,4.13,450,"1993-11-18 2022-12-02",76.95,15.15,450,"1993-11-18 2022-12-02",2.81,3.65,450,"1993-11-18 2022-12-02",3.01,5.02,450,"1993-11-18 2022-12-02",14.89,20.68,445,"1993-11-18 2022-12-02",14.76,20.69,445,"1993-11-18 2022-12-02",0.13,0.99,445,"1993-11-18 2022-12-02",0.2,0.94,424,"1993-11-18 2022-12-02",,,,
2023-11-24,6.32,3.33,450,"1993-11-17 2022-12-01",97.18,4.42,450,"1993-11-17 2022-12-01",9.09,2.48,450,"1993-11-17 2022-12-01",19.84,12.19,450,"1993-11-17 2022-12-01",2.35,4.18,450,"1993-11-17 2022-12-01",76.68,15.33,450,"1993-11-17 2022-12-01",2.9,3.68,450,"1993-11-17 2022-12-01",3.09,5.1,450,"1993-11-17 2022-12-01",15.17,20.86,444,"1993-11-17 2022-12-01",15.01,20.89,444,"1993-11-17 2022-12-01",0.16,1.15,444,"1993-11-17 2022-12-01",0.1,0.74,423,"1993-11-17 2022-12-01",,,,
2023-11-23,6.43,3.33,450,"1993-11-16 2022-11-30",97.12,4.56,450,"1993-11-16 2022-11-30",9.22,2.45,450,"1993-11-16 2022-11-30",19.83,12.17,450,"1993-11-16 2022-11-30",2.46,4.18,450,"1993-11-16 2022-11-30",76.48,15.39,450,"1993-11-16 2022-11-30",3.02,3.68,450,"1993-11-16 2022-11-30",3.14,5.17,450,"1993-11-16 2022-11-30",15.56,22.27,445,"1993-11-16 2022-11-30",15.42,22.29,445,"1993-11-16 2022-11-30",0.14,1.03,445,"1993-11-16 2022-11-30",0.1,0.69,424,"1993-11-16 2022-11-30",,,,
2023-11-22,6.52,3.36,450,"1993-11-15 2022-11-29",97.14,4.55,450,"1993-11-15 2022-11-29",9.34,2.46,450,"1993-11-15 2022-11-29",20.07,12.15,450,"1993-11-15 2022-11-29",2.57,4.22,450,"1993-11-15 2022-11-29",76.5,15.52,450,"1993-11-15 2022-11-29",3.12,3.66,450,"1993-11-15 2022-11-29",3.21,5.22,450,"1993-11-15 2022-11-29",15.91,22.08,444,"1993-11-15 2022-11-29",15.77,22.11,444,"1993-11-15 2022-11-29",0.14,1.03,444,"1993-11-15 2022-11-29",0.1,0.59,423,"1993-11-15 2022-11-29",,,,
2023-11-21,6.62,3.34,450,"1993-11-14 2022-11-28",97.14,4.65,450,"1993-11-14 2022-11-28",9.46,2.44,450,"1993-11-14 2022-11-28",19.76,12.04,450,"1993-11-14 2022-11-28",2.69,4.19,450,"1993-11-14 2022-11-28",76.49,15.51,450,"1993-11-14 2022-11-28",3.19,3.62,450,"1993-11-14 2022-11-28",3.19,5.33,450,"1993-11-14 2022-11-28",16.3,23.24,445,"1993-11-14 2022-11-28",16.18,23.28,445,"1993-11-14 2022-11-28",0.11,0.92,445,"1993-11-14 2022-11-28",0.1,0.56,424,"1993-11-14 2022-11-28",,,,
2023-11-20,6.77,3.27,450,"1993-11-13 2022-11-27",97.16,4.57,450,"1993-11-13 2022-11-27",9.6,2.42,450,"1993-11-13 2022-11-27",19.9,12.17,450,"1993-11-13 2022-11-27",2.84,4.1,450,"1993-11-13 2022-11-27",76.53,15.4,450,"1993-11-13 2022-11-27",3.36,3.62,450,"1993-11-13 2022-11-27",3.11,5.18,450,"1993-11-13 2022-11-27",16.51,23.62,445,"1993-11-13 2022-11-27",16.41,23.66,445,"1993-11-13 2022-11-27",0.11,0.91,445,"1993-11-13 2022-11-27",0.1,0.56,424,"1993-11-13 2022-11-27",,,,
2023-11-19,6.92,3.3,450,"1993-11-12 2022-11-26",97.23,4.56,450,"1993-11-12 2022-11-26",9.71,2.4,450,"1993-11-12 2022-11-26",20,12.38,450,"1993-11-12 2022-11-26",3.01,4.15,450,"1993-11-12 2022-11-26",76.77,15.62,450,"1993-11-12 2022-11-26",3.48,3.63,450,"1993-11-12 2022-11-26",3.18,5.27,450,"1993-11-12 2022-11-26",16.44,23.39,445,"1993-11-12 2022-11-26",16.34,23.43,445,"1993-11-12 2022-11-26",0.11,0.91,445,"1993-11-12 2022-11-26",0.1,0.56,424,"1993-11-12 2022-11-26",,,,
2023-11-18,7.02,3.27,450,"1993-11-11 2022-11-25",97.21,4.52,450,"1993-11-11 2022-11-25",9.83,2.41,450,"1993-11-11 2022-11-25",20.22,12.26,450,"1993-11-11 2022-11-25",3.14,4.14,450,"1993-11-11 2022-11-25",76.85,15.55,450,"1993-11-11 2022-11-25",3.61,3.61,450,"1993-11-11 2022-11-25",3.27,5.19,450,"1993-11-11 2022-11-25",16.73,23.75,443,"1993-11-11 2022-11-25",16.63,23.79,443,"1993-11-11 2022-11-25",0.1,0.91,443,"1993-11-11 2022-11-25",0.1,0.54,423,"1993-11-11 2022-11-25",,,,
2023-11-17,7.12,3.25,450,"1993-11-10 2022-11-24",97.2,4.57,450,"1993-11-10 2022-11-24",9.96,2.42,450,"1993-11-10 2022-11-24",20.1,12.22,450,"1993-11-10 2022-11-24",3.22,4.15,450,"1993-11-10 2022-11-24",76.76,15.73,450,"1993-11-10 2022-11-24",3.66,3.58,450,"1993-11-10 2022-11-24",3.24,5.19,450,"1993-11-10 2022-11-24",16.18,23.18,442,"1993-11-10 2022-11-24",16.09,23.21,442,"1993-11-10 2022-11-24",0.09,0.84,442,"1993-11-10 2022-11-24",0.1,0.51,423,"1993-11-10 2022-11-24",,,,
2023-11-16,7.2,3.23,450,"1993-11-09 2022-11-23",97.2,4.68,450,"1993-11-09 2022-11-23",10.08,2.41,450,"1993-11-09 2022-11-23",19.78,12.04,450,"1993-11-09 2022-11-23",3.35,4.15,450,"1993-11-09 2022-11-23",76.78,15.94,450,"1993-11-09 2022-11-23",3.78,3.63,450,"1993-11-09 2022-11-23",3.18,5.11,450,"1993-11-09 2022-11-23",15.27,22.73,442,"1993-11-09 2022-11-23",15.19,22.76,442,"1993-11-09 2022-11-23",0.08,0.83,442,"1993-11-09 2022-11-23",0.1,0.47,424,"1993-11-09 2022-11-23",,,,
2023-11-15,7.32,3.14,450,"1993-11-08 2022-11-22",97.23,4.61,450,"1993-11-08 2022-11-22",10.22,2.34,450,"1993-11-08 2022-11-22",19.89,12.23,450,"1993-11-08 2022-11-22",3.45,4.17,450,"1993-11-08 2022-11-22",76.64,16.34,450,"1993-11-08 2022-11-22",3.92,3.61,450,"1993-11-08 2022-11-22",3.35,5.44,450,"1993-11-08 2022-11-22",15.72,22.83,441,"1993-11-08 2022-11-22",15.64,22.86,441,"1993-11-08 2022-11-22",0.08,0.82,441,"1993-11-08 2022-11-22",0,0.4,424,"1993-11-08 2022-11-22",,,,
2023-11-14,7.43,3.12,450,"1993-11-07 2022-11-21",97.18,4.9,450,"1993-11-07 2022-11-21",10.38,2.23,450,"1993-11-07 2022-11-21",19.9,12.49,450,"1993-11-07 2022-11-21",3.58,4.09,450,"1993-11-07 2022-11-21",76.49,16.49,450,"1993-11-07 2022-11-21",4.04,3.6,450,"1993-11-07 2022-11-21",3.47,5.79,450,"1993-11-07 2022-11-21",15.5,22.68,440,"1993-11-07 2022-11-21",15.43,22.71,440,"1993-11-07 2022-11-21",0.08,0.83,440,"1993-11-07 2022-11-21",0,0.28,424,"1993-11-07 2022-11-21",,,,
2023-11-13,7.55,3.11,450,"1993-11-06 2022-11-20",97.22,4.83,450,"1993-11-06 2022-11-20",10.48,2.21,450,"1993-11-06 2022-11-20",19.92,12.37,450,"1993-11-06 2022-11-20",3.72,4.13,450,"1993-11-06 2022-11-20",76.51,16.7,450,"1993-11-06 2022-11-20",4.16,3.64,450,"1993-11-06 2022-11-20",3.51,5.69,450,"1993-11-06 2022-11-20",15.65,23.48,440,"1993-11-06 2022-11-20",15.6,23.5,440,"1993-11-06 2022-11-20",0.06,0.71,440,"1993-11-06 2022-11-20",0,0.28,425,"1993-11-06 2022-11-20",,,,
2023-11-12,7.65,3.07,450,"1993-11-05 2022-11-19",97.26,4.64,450,"1993-11-05 2022-11-19",10.57,2.18,450,"1993-11-05 2022-11-19",19.92,12.24,450,"1993-11-05 2022-11-19",3.85,4.13,450,"1993-11-05 2022-11-19",76.79,16.71,450,"1993-11-05 2022-11-19",4.28,3.59,450,"1993-11-05 2022-11-19",3.58,5.62,450,"1993-11-05 2022-11-19",16.31,24.04,440,"1993-11-05 2022-11-19",16.25,24.06,440,"1993-11-05 2022-11-19",0.05,0.71,440,"1993-11-05 2022-11-19",0,0.26,425,"1993-11-05 2022-11-19",,,,
2023-11-11,7.73,3.08,450,"1993-11-04 2022-11-18",97.24,4.49,450,"1993-11-04 2022-11-18",10.65,2.19,450,"1993-11-04 2022-11-18",19.95,12.2,450,"1993-11-04 2022-11-18",3.99,4.08,450,"1993-11-04 2022-11-18",76.78,16.51,450,"1993-11-04 2022-11-18",4.43,3.61,450,"1993-11-04 2022-11-18",3.6,5.66,450,"1993-11-04 2022-11-18",16.21,23.79,441,"1993-11-04 2022-11-18",16.16,23.81,441,"1993-11-04 2022-11-18",0.05,0.7,441,"1993-11-04 2022-11-18",0,0.24,426,"1993-11-04 2022-11-18",,,,
2023-11-10,7.9,3.11,450,"1993-11-03 2022-11-17",97.3,4.31,450,"1993-11-03 2022-11-17",10.79,2.18,450,"1993-11-03 2022-11-17",20.22,12.15,450,"1993-11-03 2022-11-17",4.14,4.14,450,"1993-11-03 2022-11-17",76.96,16.68,450,"1993-11-03 2022-11-17",4.58,3.63,450,"1993-11-03 2022-11-17",3.51,5.56,450,"1993-11-03 2022-11-17",16.64,24.25,442,"1993-11-03 2022-11-17",16.59,24.27,442,"1993-11-03 2022-11-17",0.05,0.7,442,"1993-11-03 2022-11-17",0,0.15,427,"1993-11-03 2022-11-17",,,,
2023-11-09,7.98,3.05,450,"1993-11-02 2022-11-16",97.31,4.3,450,"1993-11-02 2022-11-16",10.87,2.1,450,"1993-11-02 2022-11-16",20.18,12.1,450,"1993-11-02 2022-11-16",4.24,4.11,450,"1993-11-02 2022-11-16",76.94,16.48,450,"1993-11-02 2022-11-16",4.66,3.64,450,"1993-11-02 2022-11-16",3.52,5.63,450,"1993-11-02 2022-11-16",17.05,24.63,443,"1993-11-02 2022-11-16",17.03,24.63,443,"1993-11-02 2022-11-16",0.02,0.35,443,"1993-11-02 2022-11-16",0,0,428,"1993-11-02 2022-11-16",,,,
2023-11-08,8.04,3.01,450,"1993-11-01 2022-11-15",97.42,4.06,450,"1993-11-01 2022-11-15",10.97,2.07,450,"1993-11-01 2022-11-15",20.01,11.91,450,"1993-11-01 2022-11-15",4.28,4.11,450,"1993-11-01 2022-11-15",76.83,16.48,450,"1993-11-01 2022-11-15",4.67,3.67,450,"1993-11-01 2022-11-15",3.36,5.51,450,"1993-11-01 2022-11-15",16.51,23.54,443,"1993-11-01 2022-11-15",16.5,23.54,443,"1993-11-01 2022-11-15",0,0.05,443,"1993-11-01 2022-11-15",0,0,428,"1993-11-01 2022-11-15",,,,
2023-11-07,8.04,3.02,450,"1993-10-31 2022-11-14",97.33,4.15,450,"1993-10-31 2022-11-14",11.06,2.06,450,"1993-10-31 2022-11-14",19.68,11.61,450,"1993-10-31 2022-11-14",4.26,4.11,450,"1993-10-31 2022-11-14",76.28,16.56,450,"1993-10-31 2022-11-14",4.68,3.71,450,"1993-10-31 2022-11-14",3.29,5.49,450,"1993-10-31 2022-11-14",15.88,23.39,444,"1993-10-31 2022-11-14",15.88,23.39,444,"1993-10-31 2022-11-14",0,0.05,444,"1993-10-31 2022-11-14",0,0,429,"1993-10-31 2022-11-14",,,,
2023-11-06,8.07,3.07,450,"1993-10-30 2022-11-13",97.24,4.88,450,"1993-10-30 2022-11-13",11.14,2.04,450,"1993-10-30 2022-11-13",19.81,11.7,450,"1993-10-30 2022-11-13",4.24,4.21,450,"1993-10-30 2022-11-13",75.75,16.93,450,"1993-10-30 2022-11-13",4.73,3.75,450,"1993-10-30 2022-11-13",3.24,5.38,450,"1993-10-30 2022-11-13",15.01,22,444,"1993-10-30 2022-11-13",15.01,22,444,"1993-10-30 2022-11-13",0,0.05,444,"1993-10-30 2022-11-13",0,0,429,"1993-10-30 2022-11-13",,,,
2023-11-05,8.12,3.09,450,"1993-10-29 2022-11-12",97.28,4.87,450,"1993-10-29 2022-11-12",11.25,2.05,450,"1993-10-29 2022-11-12",19.84,11.54,450,"1993-10-29 2022-11-12",4.29,4.27,450,"1993-10-29 2022-11-12",75.55,17.34,450,"1993-10-29 2022-11-12",4.78,3.75,450,"1993-10-29 2022-11-12",3.19,5.37,450,"1993-10-29 2022-11-12",14.75,21.67,443,"1993-10-29 2022-11-12",14.75,21.66,443,"1993-10-29 2022-11-12",0,0.05,443,"1993-10-29 2022-11-12",0,0,428,"1993-10-29 2022-11-12",,,,
2023-11-04,8.19,3.04,450,"1993-10-28 2022-11-11",97.22,5.01,450,"1993-10-28 2022-11-11",11.34,2.06,450,"1993-10-28 2022-11-11",19.74,11.45,450,"1993-10-28 2022-11-11",4.4,4.22,450,"1993-10-28 2022-11-11",75.31,17.15,450,"1993-10-28 2022-11-11",4.94,3.74,450,"1993-10-28 2022-11-11",3.19,5.41,450,"1993-10-28 2022-11-11",14.33,21.3,442,"1993-10-28 2022-11-11",14.33,21.29,442,"1993-10-28 2022-11-11",0,0.05,442,"1993-10-28 2022-11-11",0,0,427,"1993-10-28 2022-11-11",,,,
2023-11-03,8.27,3.03,450,"1993-10-27 2022-11-10",97.25,4.95,450,"1993-10-27 2022-11-10",11.48,2.07,450,"1993-10-27 2022-11-10",19.64,11.51,450,"1993-10-27 2022-11-10",4.47,4.19,450,"1993-10-27 2022-11-10",74.98,17.36,450,"1993-10-27 2022-11-10",5.01,3.72,450,"1993-10-27 2022-11-10",3.07,5.33,450,"1993-10-27 2022-11-10",14.12,21.09,444,"1993-10-27 2022-11-10",14.12,21.08,444,"1993-10-27 2022-11-10",0,0.05,444,"1993-10-27 2022-11-10",0,0,429,"1993-10-27 2022-11-10",,,,
